# wavelength flux error
3.24040e+03 4.65732e-17 2.50314e-17
3.24060e+03 9.17432e-17 2.57756e-17
3.24080e+03 -5.87315e-18 2.01890e-17
3.24100e+03 2.20374e-16 2.75447e-17
3.24120e+03 1.74765e-16 2.47625e-17
3.24140e+03 6.43589e-18 2.59347e-17
3.24160e+03 8.27099e-17 2.60407e-17
3.24180e+03 8.62301e-17 2.81417e-17
3.24200e+03 1.37178e-16 1.86078e-17
3.24220e+03 8.97628e-17 2.71165e-17
3.24240e+03 5.80391e-17 2.23878e-17
3.24260e+03 1.65224e-18 2.42240e-17
3.24280e+03 1.01047e-16 2.85235e-17
3.24300e+03 1.36413e-16 2.71234e-17
3.24320e+03 6.00662e-17 3.07160e-17
3.24340e+03 5.88296e-17 2.46619e-17
3.24360e+03 1.16383e-16 2.40088e-17
3.24380e+03 -4.00752e-17 2.43821e-17
3.24400e+03 2.94279e-17 2.11839e-17
3.24420e+03 3.33944e-17 2.42665e-17
3.24440e+03 1.87373e-17 2.79582e-17
3.24460e+03 9.34862e-17 2.23491e-17
3.24480e+03 1.26440e-16 2.41881e-17
3.24500e+03 1.61393e-17 2.15891e-17
3.24520e+03 -5.04052e-17 2.39858e-17
3.24540e+03 3.52044e-17 2.19101e-17
3.24560e+03 1.55462e-16 2.82872e-17
3.24580e+03 4.40960e-17 2.38767e-17
3.24600e+03 5.98130e-17 2.89879e-17
3.24620e+03 6.95435e-17 2.18170e-17
3.24640e+03 6.67821e-17 2.62815e-17
3.24660e+03 -1.01938e-17 1.97241e-17
3.24680e+03 2.70590e-17 2.17849e-17
3.24700e+03 9.32480e-17 2.73702e-17
3.24720e+03 8.52762e-17 2.44626e-17
3.24740e+03 1.06482e-16 2.28335e-17
3.24760e+03 6.52719e-17 2.54303e-17
3.24780e+03 1.30914e-16 2.25832e-17
3.24800e+03 -8.06221e-18 2.36275e-17
3.24820e+03 5.04863e-17 1.98367e-17
3.24840e+03 5.26324e-17 2.97453e-17
3.24860e+03 1.77438e-16 2.60058e-17
3.24880e+03 2.18181e-17 2.21850e-17
3.24900e+03 1.17902e-16 2.66560e-17
3.24920e+03 8.88998e-17 2.43954e-17
3.24940e+03 9.85719e-17 2.36640e-17
3.24960e+03 1.04949e-16 2.71739e-17
3.24980e+03 1.10782e-16 2.75832e-17
3.25000e+03 5.40806e-17 2.09710e-17
3.25020e+03 7.43767e-17 2.81596e-17
3.25040e+03 2.78013e-17 2.25345e-17
3.25060e+03 1.21804e-17 2.36160e-17
3.25080e+03 5.14329e-17 2.59665e-17
3.25100e+03 3.58032e-17 2.38727e-17
3.25120e+03 8.76846e-17 2.49684e-17
3.25140e+03 1.55478e-16 2.46767e-17
3.25160e+03 5.02346e-17 2.53515e-17
3.25180e+03 1.94314e-17 2.25049e-17
3.25200e+03 2.18951e-17 2.87494e-17
3.25220e+03 8.22353e-17 2.33144e-17
3.25240e+03 -3.59069e-17 2.49841e-17
3.25260e+03 2.26033e-18 2.33815e-17
3.25280e+03 7.85278e-17 2.68886e-17
3.25300e+03 -4.06200e-17 2.40775e-17
3.25320e+03 2.61811e-17 3.57916e-17
3.25340e+03 8.53930e-17 2.54443e-17
3.25360e+03 1.18740e-16 1.88817e-17
3.25380e+03 3.86605e-17 2.60370e-17
3.25400e+03 8.93169e-17 2.18975e-17
3.25420e+03 2.64319e-17 2.09129e-17
3.25440e+03 5.57006e-17 2.53829e-17
3.25460e+03 2.28386e-17 2.22962e-17
3.25480e+03 5.44490e-17 2.95001e-17
3.25500e+03 3.43662e-17 2.89481e-17
3.25520e+03 4.20451e-17 2.23358e-17
3.25540e+03 -4.93546e-17 2.17518e-17
3.25560e+03 -1.48686e-17 2.42725e-17
3.25580e+03 2.06520e-18 2.89317e-17
3.25600e+03 5.83767e-17 2.43254e-17
3.25620e+03 1.21056e-16 2.11345e-17
3.25640e+03 3.03305e-17 2.25338e-17
3.25660e+03 9.81027e-18 2.00416e-17
3.25680e+03 6.87885e-17 2.47349e-17
3.25700e+03 7.39417e-17 2.32810e-17
3.25720e+03 5.20911e-17 2.23221e-17
3.25740e+03 -5.85349e-18 3.00269e-17
3.25760e+03 -4.57709e-17 2.35808e-17
3.25780e+03 1.00412e-16 2.32323e-17
3.25800e+03 3.69752e-17 2.46325e-17
3.25820e+03 6.48306e-18 2.55005e-17
3.25840e+03 1.20650e-16 2.47706e-17
3.25860e+03 7.65133e-17 2.71342e-17
3.25880e+03 9.79100e-17 2.37164e-17
3.25900e+03 2.81659e-17 2.56473e-17
3.25920e+03 1.09981e-16 2.89072e-17
3.25940e+03 8.84559e-17 2.15238e-17
3.25960e+03 1.46549e-17 2.83017e-17
3.25980e+03 7.29320e-18 2.08522e-17
3.26000e+03 3.72728e-17 2.18072e-17
3.26020e+03 1.50723e-16 2.30521e-17
3.26040e+03 8.97255e-17 2.00904e-17
3.26060e+03 1.44858e-16 2.41524e-17
3.26080e+03 7.75254e-17 2.54101e-17
3.26100e+03 7.60114e-17 2.88712e-17
3.26120e+03 3.34268e-17 2.73925e-17
3.26140e+03 8.02333e-17 2.29036e-17
3.26160e+03 6.45990e-17 1.94031e-17
3.26180e+03 -2.51877e-18 1.77710e-17
3.26200e+03 -6.18595e-17 1.96440e-17
3.26220e+03 6.01150e-17 2.28556e-17
3.26240e+03 1.00216e-16 2.45183e-17
3.26260e+03 7.65926e-17 2.46772e-17
3.26280e+03 1.00391e-16 2.96871e-17
3.26300e+03 4.37434e-17 2.75942e-17
3.26320e+03 5.01829e-17 2.33290e-17
3.26341e+03 1.07645e-17 2.14302e-17
3.26361e+03 -2.06894e-18 2.51623e-17
3.26381e+03 6.63177e-17 2.83781e-17
3.26401e+03 1.45207e-17 2.55735e-17
3.26421e+03 2.77125e-17 2.24773e-17
3.26441e+03 5.37952e-17 2.39180e-17
3.26461e+03 1.92447e-16 2.24073e-17
3.26481e+03 7.02333e-17 2.24868e-17
3.26501e+03 -6.85932e-18 2.04248e-17
3.26521e+03 1.13677e-16 2.33045e-17
3.26541e+03 5.72361e-17 2.54812e-17
3.26561e+03 1.28816e-17 2.52768e-17
3.26581e+03 9.34713e-17 2.93725e-17
3.26601e+03 -2.30244e-17 2.20563e-17
3.26621e+03 -7.00605e-17 2.47505e-17
3.26641e+03 1.85948e-17 2.55558e-17
3.26661e+03 1.57785e-16 2.37877e-17
3.26681e+03 9.78719e-17 2.33545e-17
3.26701e+03 2.16987e-17 2.29714e-17
3.26721e+03 1.87205e-16 2.26228e-17
3.26741e+03 2.17364e-17 2.28592e-17
3.26761e+03 8.52319e-17 2.04396e-17
3.26781e+03 8.53055e-17 2.13036e-17
3.26801e+03 7.40815e-17 1.87565e-17
3.26821e+03 1.38221e-16 2.28799e-17
3.26841e+03 1.22524e-16 2.48539e-17
3.26861e+03 8.99300e-17 2.55063e-17
3.26881e+03 1.55978e-16 2.40857e-17
3.26901e+03 9.57502e-17 2.19419e-17
3.26921e+03 4.26962e-17 2.63769e-17
3.26941e+03 1.65647e-16 2.72028e-17
3.26961e+03 1.09737e-16 2.49393e-17
3.26981e+03 2.31910e-17 2.24199e-17
3.27001e+03 1.01811e-16 2.38620e-17
3.27021e+03 1.20948e-16 2.29359e-17
3.27041e+03 2.91982e-17 2.18472e-17
3.27061e+03 -1.58287e-17 2.11766e-17
3.27081e+03 9.11875e-17 2.79534e-17
3.27101e+03 4.39306e-17 2.05247e-17
3.27121e+03 4.86465e-17 2.43733e-17
3.27141e+03 1.25476e-16 2.42448e-17
3.27161e+03 8.29562e-17 2.11737e-17
3.27181e+03 -1.65914e-17 2.01723e-17
3.27201e+03 -6.19391e-17 2.62602e-17
3.27221e+03 -1.34591e-17 2.35442e-17
3.27241e+03 3.90288e-17 3.20569e-17
3.27261e+03 5.17561e-17 2.88738e-17
3.27281e+03 -5.64030e-18 2.33966e-17
3.27301e+03 1.35793e-16 2.11963e-17
3.27321e+03 1.19539e-16 2.26657e-17
3.27341e+03 5.81117e-17 2.40796e-17
3.27361e+03 7.48195e-17 2.44839e-17
3.27381e+03 1.68364e-16 2.38951e-17
3.27401e+03 8.17488e-18 2.67525e-17
3.27421e+03 -1.54235e-17 2.36476e-17
3.27441e+03 5.61931e-17 2.45288e-17
3.27461e+03 9.21487e-17 1.89723e-17
3.27481e+03 6.10636e-17 2.83181e-17
3.27501e+03 1.75457e-16 2.19878e-17
3.27521e+03 1.20796e-16 3.83837e-17
3.27541e+03 2.76978e-18 3.10585e-17
3.27561e+03 -3.64095e-17 2.36157e-17
3.27581e+03 -4.09648e-17 2.16710e-17
3.27601e+03 4.53107e-17 2.44155e-17
3.27621e+03 -5.11114e-19 2.15562e-17
3.27641e+03 -5.65156e-18 2.19485e-17
3.27661e+03 9.07993e-17 2.37651e-17
3.27681e+03 1.64926e-16 2.71256e-17
3.27701e+03 2.99235e-17 2.89244e-17
3.27721e+03 -1.05580e-17 2.22280e-17
3.27741e+03 2.24502e-17 1.93882e-17
3.27761e+03 3.79969e-17 2.19788e-17
3.27781e+03 1.17010e-17 2.22700e-17
3.27801e+03 1.30654e-16 2.47830e-17
3.27821e+03 1.88865e-16 2.35432e-17
3.27841e+03 4.61851e-17 2.29303e-17
3.27861e+03 -7.02233e-17 2.20125e-17
3.27881e+03 3.99727e-17 2.08288e-17
3.27901e+03 1.89302e-17 2.23463e-17
3.27921e+03 -1.08706e-16 2.04154e-17
3.27941e+03 3.88964e-17 2.19616e-17
3.27961e+03 1.98114e-17 2.41126e-17
3.27981e+03 7.00919e-17 1.95852e-17
3.28001e+03 1.57485e-16 2.33723e-17
3.28021e+03 -3.33242e-17 2.77026e-17
3.28041e+03 9.64116e-17 2.75860e-17
3.28061e+03 1.24923e-17 2.29851e-17
3.28081e+03 1.08914e-16 2.15550e-17
3.28101e+03 1.55787e-16 2.71607e-17
3.28121e+03 -1.14218e-16 2.77742e-17
3.28141e+03 -3.15251e-17 2.43745e-17
3.28161e+03 3.02541e-17 2.62733e-17
3.28181e+03 6.89142e-17 2.64177e-17
3.28201e+03 7.84658e-17 2.21746e-17
3.28221e+03 2.92363e-17 4.20755e-17
3.28241e+03 2.42847e-17 2.45585e-17
3.28261e+03 -3.95572e-19 2.71964e-17
3.28281e+03 -3.80233e-17 2.74301e-17
3.28301e+03 7.04257e-17 2.54809e-17
3.28321e+03 1.53373e-16 2.70897e-17
3.28341e+03 -1.43828e-17 2.44895e-17
3.28361e+03 -1.49179e-17 2.49184e-17
3.28381e+03 -9.37447e-18 2.68954e-17
3.28401e+03 7.51550e-17 2.28202e-17
3.28421e+03 -1.24887e-17 2.27196e-17
3.28441e+03 2.06967e-17 2.41124e-17
3.28461e+03 5.40317e-17 1.72144e-17
3.28481e+03 5.35130e-17 1.96318e-17
3.28501e+03 -2.68164e-17 2.14335e-17
3.28521e+03 -4.50771e-17 2.62893e-17
3.28541e+03 9.71713e-17 2.18508e-17
3.28561e+03 2.47132e-17 2.95851e-17
3.28581e+03 -7.89383e-17 2.38461e-17
3.28601e+03 5.06662e-17 2.82984e-17
3.28621e+03 7.36457e-18 2.61132e-17
3.28641e+03 1.71176e-17 2.34008e-17
3.28661e+03 5.33872e-18 2.35870e-17
3.28681e+03 3.03477e-17 2.44702e-17
3.28701e+03 6.71486e-17 2.66950e-17
3.28721e+03 4.12135e-17 3.06769e-17
3.28741e+03 5.29307e-17 2.33519e-17
3.28761e+03 -5.71030e-18 2.41609e-17
3.28781e+03 -5.76429e-17 2.64881e-17
3.28801e+03 -4.01335e-17 2.63085e-17
3.28821e+03 3.08843e-17 2.49618e-17
3.28841e+03 -5.58999e-17 2.25589e-17
3.28861e+03 1.23242e-17 2.11836e-17
3.28881e+03 1.09597e-16 2.43461e-17
3.28901e+03 1.33411e-16 2.58722e-17
3.28921e+03 6.56944e-17 2.08338e-17
3.28941e+03 7.01450e-17 2.25875e-17
3.28961e+03 3.43974e-17 2.34264e-17
3.28981e+03 5.03668e-18 1.73685e-17
3.29001e+03 -5.71579e-17 2.82148e-17
3.29021e+03 2.55244e-17 2.15474e-17
3.29041e+03 1.84663e-17 2.23601e-17
3.29061e+03 -1.55706e-17 2.33295e-17
3.29081e+03 -1.01575e-17 2.29351e-17
3.29101e+03 2.07781e-17 2.32958e-17
3.29121e+03 -1.15053e-17 2.40968e-17
3.29141e+03 -6.15177e-17 2.57174e-17
3.29161e+03 -2.88750e-17 2.65217e-17
3.29181e+03 5.83806e-17 2.25920e-17
3.29201e+03 -4.18680e-17 2.62730e-17
